Tissue,PMP,Total_Count,Total_Tissue_Count,VRF
cfDNA,r:10035:10044:10046:`000,1077,3962133,0.0002718232830649552
cfDNA,r:10035:10044:10046:`001,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10044:10046:`010,0,3962133,0.0
cfDNA,r:10035:10044:10046:`011,0,3962133,0.0
cfDNA,r:10035:10044:10046:`100,0,3962133,0.0
cfDNA,r:10035:10044:10046:`101,0,3962133,0.0
cfDNA,r:10035:10044:10046:`110,0,3962133,0.0
cfDNA,r:10035:10044:10046:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10053:`000,1086,3962133,0.0002740947868231581
cfDNA,r:10035:10044:10053:`001,0,3962133,0.0
cfDNA,r:10035:10044:10053:`010,0,3962133,0.0
cfDNA,r:10035:10044:10053:`011,0,3962133,0.0
cfDNA,r:10035:10044:10053:`100,0,3962133,0.0
cfDNA,r:10035:10044:10053:`101,0,3962133,0.0
cfDNA,r:10035:10044:10053:`110,0,3962133,0.0
cfDNA,r:10035:10044:10053:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10058:`000,1069,3962133,0.0002698041686132192
cfDNA,r:10035:10044:10058:`001,17,3962133,4.29061820993894e-06
cfDNA,r:10035:10044:10058:`010,0,3962133,0.0
cfDNA,r:10035:10044:10058:`011,0,3962133,0.0
cfDNA,r:10035:10044:10058:`100,0,3962133,0.0
cfDNA,r:10035:10044:10058:`101,0,3962133,0.0
cfDNA,r:10035:10044:10058:`110,0,3962133,0.0
cfDNA,r:10035:10044:10058:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10071:`000,1072,3962133,0.0002705613365326202
cfDNA,r:10035:10044:10071:`001,14,3962133,3.5334502905379502e-06
cfDNA,r:10035:10044:10071:`010,0,3962133,0.0
cfDNA,r:10035:10044:10071:`011,0,3962133,0.0
cfDNA,r:10035:10044:10071:`100,0,3962133,0.0
cfDNA,r:10035:10044:10071:`101,0,3962133,0.0
cfDNA,r:10035:10044:10071:`110,0,3962133,0.0
cfDNA,r:10035:10044:10071:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10075:`000,1086,3962133,0.0002740947868231581
cfDNA,r:10035:10044:10075:`001,0,3962133,0.0
cfDNA,r:10035:10044:10075:`010,0,3962133,0.0
cfDNA,r:10035:10044:10075:`011,0,3962133,0.0
cfDNA,r:10035:10044:10075:`100,0,3962133,0.0
cfDNA,r:10035:10044:10075:`101,0,3962133,0.0
cfDNA,r:10035:10044:10075:`110,0,3962133,0.0
cfDNA,r:10035:10044:10075:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10081:`000,1086,3962133,0.0002740947868231581
