strand,CpG_Coordinates,`000,`001,`010,`011,`100,`101,`110,`111,Sample_ID,Replicate,Tissue
r,10035:10044:10046,1077,9,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10053,1086,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10058,1069,17,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10071,1072,14,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10075,1086,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10081,1086,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10088,1047,9,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10096,1056,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10102,1054,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10109,1005,49,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10111,1055,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10044:10118,955,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10044:10121,907,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10044:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10044:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10053,1076,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10058,1059,17,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10071,1062,14,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10075,1076,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10081,1076,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10088,1046,0,0,9,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10096,1046,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10102,1044,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10109,995,49,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10111,1045,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10046:10118,945,0,9,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10046:10121,897,0,9,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10046:10130,787,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10133,754,32,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10140,611,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10146,441,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10150,441,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10159,355,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10162,323,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10046:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10058,1069,17,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10071,1072,14,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10075,1086,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10081,1086,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10088,1047,9,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10096,1056,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10102,1054,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10109,1005,49,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10111,1055,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10053:10118,955,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10053:10121,907,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10053:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10053:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10071,1069,0,3,14,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10075,1069,0,17,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10081,1069,0,17,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10088,1030,9,17,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10096,1039,0,17,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10102,1037,0,17,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10109,1002,35,3,14,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10111,1038,0,17,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10058:10118,938,0,17,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10058:10121,890,0,17,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10058:10130,794,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10133,761,32,3,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10140,617,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10146,447,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10150,447,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10058:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10075,1072,0,14,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10071:10081,1072,0,14,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10071:10088,1033,9,14,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10071:10096,1042,0,14,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10071:10102,1040,0,14,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10071:10109,1005,35,0,14,0,0,0,4,1,Rep2,cfDNA
r,10035:10071:10111,1041,0,14,0,0,0,0,4,1,Rep2,cfDNA
